code,name,description,refreshed_at,from_date,to_date
LOCALBTCILS,Bitcoin Markets (localbtcILS),Daily Bitcoin exchange rate (BTC vs. ILS) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-05 00:18:31,2013-03-18,2019-01-07
LOCALBTCINR,Bitcoin Markets (localbtcINR),Daily Bitcoin exchange rate (BTC vs. INR) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-20,2019-01-08
LOCALBTCMXN,Bitcoin Markets (localbtcMXN),Daily Bitcoin exchange rate (BTC vs. MXN) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-11,2019-01-08
LOCALBTCNOK,Bitcoin Markets (localbtcNOK),Daily Bitcoin exchange rate (BTC vs. NOK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-12,2019-01-08
LOCALBTCNZD,Bitcoin Markets (localbtcNZD),Daily Bitcoin exchange rate (BTC vs. NZD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-13,2019-01-08
LOCALBTCPLN,Bitcoin Markets (localbtcPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-06-24,2019-01-08
LOCALBTCRUB,Bitcoin Markets (localbtcRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-28,2019-01-08
LOCALBTCSEK,Bitcoin Markets (localbtcSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-12,2019-01-08
LOCALBTCSGD,Bitcoin Markets (localbtcSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-23,2019-01-08
LOCALBTCTHB,Bitcoin Markets (localbtcTHB),Daily Bitcoin exchange rate (BTC vs. THB) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-03-25,2019-01-08
LOCALBTCUSD,Bitcoin Markets (localbtcUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:18,2013-03-11,2019-01-08
LOCALBTCVEF,Bitcoin Markets (localbtcVEF),This dataset has no description.,2018-12-20 00:04:19,2017-08-14,2018-11-21
LOCALBTCVES,Bitcoin Markets (localbtcVES),This dataset has no description.,2019-02-06 00:18:19,2018-08-21,2019-01-08
LOCALBTCVND,Bitcoin Markets (localbtcVND),This dataset has no description.,2019-02-06 00:18:19,2017-04-20,2019-01-08
LOCALBTCZAR,Bitcoin Markets (localbtcZAR),Daily Bitcoin exchange rate (BTC vs. ZAR) on Localbtc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-06 00:18:19,2013-05-24,2019-01-08
LYBITCAD,Bitcoin Markets (lybitCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Lybit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-01-27,2013-06-10
LYBITUSD,Bitcoin Markets (lybitUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Lybit. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-01-29,2013-06-08
MRCDBRL,Bitcoin Markets (mrcdBRL),Daily Bitcoin exchange rate (BTC vs. BRL) on Mrcd. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-02-12 00:19:35,2011-07-28,2019-02-11
MTGOXAUD,Bitcoin Markets (mtgoxAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-02,2014-02-25
MTGOXCAD,Bitcoin Markets (mtgoxCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-27,2014-02-25
MTGOXCHF,Bitcoin Markets (mtgoxCHF),Daily Bitcoin exchange rate (BTC vs. CHF) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-03,2014-02-25
MTGOXCNY,Bitcoin Markets (mtgoxCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-02,2014-02-25
MTGOXDKK,Bitcoin Markets (mtgoxDKK),Daily Bitcoin exchange rate (BTC vs. DKK) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-06,2014-02-24
MTGOXEUR,Bitcoin Markets (mtgoxEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-08-27,2014-02-25
MTGOXGBP,Bitcoin Markets (mtgoxGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-06,2014-02-25
MTGOXHKD,Bitcoin Markets (mtgoxHKD),Daily Bitcoin exchange rate (BTC vs. HKD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-10-04,2014-02-25
MTGOXJPY,Bitcoin Markets (mtgoxJPY),Daily Bitcoin exchange rate (BTC vs. JPY) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-08-27,2014-02-25
MTGOXNZD,Bitcoin Markets (mtgoxNZD),Daily Bitcoin exchange rate (BTC vs. NZD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-27,2014-02-25
MTGOXPLN,Bitcoin Markets (mtgoxPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-02,2014-02-25
MTGOXRUB,Bitcoin Markets (mtgoxRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-11,2014-02-24
MTGOXSEK,Bitcoin Markets (mtgoxSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-04,2014-02-25
MTGOXSGD,Bitcoin Markets (mtgoxSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-18,2014-02-24
MTGOXTHB,Bitcoin Markets (mtgoxTHB),Daily Bitcoin exchange rate (BTC vs. THB) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-10-13,2014-02-21
MTGOXUSD,Bitcoin Markets (mtgoxUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Mtgox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2010-07-17,2014-02-25
NEVBITPLN,Bitcoin Markets (nevbitPLN),This dataset has no description.,2020-04-25 23:04:27,2017-04-12,2020-04-25
OKCOINCNY,Bitcoin Markets (okcoinCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Okcoin. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-06-16 23:03:40,2013-06-12,2017-05-18
OKCOINUSD,Bitcoin Markets (okcoinUSD),This dataset has no description.,2019-10-24 23:11:38,2017-08-07,2019-09-25
OMNITRADEBRL,Bitcoin Markets (omnitradeBRL),This dataset has no description.,2020-04-25 23:04:27,2018-05-16,2020-03-31
P2PB2BUSD,Bitcoin Markets (p2pb2bUSD),This dataset has no description.,2019-08-05 23:04:30,2019-01-24,2019-07-07
REMITANOVND,Bitcoin Markets (remitanoVND),This dataset has no description.,2017-12-11 00:06:24,2017-10-19,2017-11-12
RIPPLEEUR,Bitcoin Markets (rippleEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Ripple. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-02-28,2014-11-03
RMBTBCNY,Bitcoin Markets (rmbtbCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Rmbtb. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-05-22,2013-12-16
ROCKEUR,Bitcoin Markets (rockEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Rock. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2011-11-09,2020-04-25
ROCKSLL,Bitcoin Markets (rockSLL),Daily Bitcoin exchange rate (BTC vs. SLL) on Rock. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-06-11,2013-09-23
ROCKUSD,Bitcoin Markets (rockUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Rock. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2018-02-01 23:05:58,2011-11-12,2018-01-03
RUXUMAUD,Bitcoin Markets (ruxumAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-24,2011-10-16
RUXUMCHF,Bitcoin Markets (ruxumCHF),Daily Bitcoin exchange rate (BTC vs. CHF) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-10,2011-10-19
RUXUMEUR,Bitcoin Markets (ruxumEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-10,2012-06-01
RUXUMGBP,Bitcoin Markets (ruxumGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-10,2011-10-16
RUXUMHKD,Bitcoin Markets (ruxumHKD),Daily Bitcoin exchange rate (BTC vs. HKD) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-03,2011-10-16
RUXUMHUF,Bitcoin Markets (ruxumHUF),Daily Bitcoin exchange rate (BTC vs. HUF) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-24,2011-10-28
RUXUMJPY,Bitcoin Markets (ruxumJPY),Daily Bitcoin exchange rate (BTC vs. JPY) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-03,2011-10-19
RUXUMPLN,Bitcoin Markets (ruxumPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-10,2011-10-14
RUXUMRUB,Bitcoin Markets (ruxumRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-24,2011-10-21
RUXUMSEK,Bitcoin Markets (ruxumSEK),Daily Bitcoin exchange rate (BTC vs. SEK) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-11,2011-10-19
RUXUMSGD,Bitcoin Markets (ruxumSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-03,2011-10-16
RUXUMTHB,Bitcoin Markets (ruxumTHB),Daily Bitcoin exchange rate (BTC vs. THB) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-04,2011-10-13
RUXUMUAH,Bitcoin Markets (ruxumUAH),Daily Bitcoin exchange rate (BTC vs. UAH) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-11,2011-10-16
RUXUMUSD,Bitcoin Markets (ruxumUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-30,2012-09-12
RUXUMZAR,Bitcoin Markets (ruxumZAR),Daily Bitcoin exchange rate (BTC vs. ZAR) on Ruxum. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-10,2011-10-19
SNWCNXRP,Bitcoin Markets (snwcnXRP),Daily Bitcoin exchange rate (BTC vs. XRP) on Snwcn. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-04-19,2013-05-08
SURBTCVEF,Bitcoin Markets (surbtcVEF),This dataset has no description.,2019-12-17 00:18:46,2017-06-05,2019-11-18
THAUD,Bitcoin Markets (thAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Th. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-07-04,2012-02-12
THCLP,Bitcoin Markets (thCLP),Daily Bitcoin exchange rate (BTC vs. CLP) on Th. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-09,2012-02-13
THEUR,Bitcoin Markets (thEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Th. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-07-21,2012-02-13
THINR,Bitcoin Markets (thINR),Daily Bitcoin exchange rate (BTC vs. INR) on Th. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-22,2012-01-30
THLRUSD,Bitcoin Markets (thLRUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Thlr. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-10,2012-02-13
THUSD,Bitcoin Markets (thUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Th. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-08,2012-02-13
URDUBITPKR,Bitcoin Markets (urdubitPKR),This dataset has no description.,2019-09-26 23:04:32,2017-06-05,2019-08-28
VBTCVND,Bitcoin Markets (vbtcVND),This dataset has no description.,2020-01-26 00:08:13,2017-06-29,2019-12-28
VCXEUR,Bitcoin Markets (vcxEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Vcx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2018-01-29 23:09:35,2012-01-22,2017-12-31
VCXUSD,Bitcoin Markets (vcxUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Vcx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2018-01-29 23:09:35,2011-12-25,2017-12-31
VIRTEXCAD,Bitcoin Markets (virtexCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Virtex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:18,2011-06-08,2016-01-27
VIRWOXSLL,Bitcoin Markets (virwoxSLL),Daily Bitcoin exchange rate (BTC vs. SLL) on Virwox. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-02-04 00:14:52,2011-04-27,2020-01-06
WBXAUD,Bitcoin Markets (wbxAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Wbx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-08-15,2014-02-25
WEEXAUD,Bitcoin Markets (weexAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Weex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-10-27,2013-11-27
WEEXCAD,Bitcoin Markets (weexCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Weex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2012-10-09,2013-11-19
WEEXUSD,Bitcoin Markets (weexUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Weex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2012-06-01,2013-11-26
WEXEUR,Bitcoin Markets (wexEUR),This dataset has no description.,2018-12-31 06:37:09,2017-10-17,2018-12-02
WEXRUB,Bitcoin Markets (wexRUB),This dataset has no description.,2019-01-03 01:27:53,2017-10-17,2018-12-05
WEXUSD,Bitcoin Markets (wexUSD),This dataset has no description.,2019-01-03 01:27:53,2017-09-19,2018-12-05
ZAIFJPY,Bitcoin Markets (zaifJPY),This dataset has no description.,2020-04-25 23:04:27,2017-07-17,2020-04-25
ZYADOEUR,Bitcoin Markets (zyadoEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Zyado. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-13 23:04:40,2014-04-24,2020-03-15
